graphID,length_3d,dist,tort
0,0.585107,2.449490,0.238869
0,1.379990,8.124038,0.169865
0,2.447900,7.280110,0.336245
0,0.294194,2.236068,0.131567
0,0.879301,4.123106,0.213262
0,0.706966,3.316625,0.213158
0,0.344669,2.828427,0.121859
0,0.929777,5.099020,0.182344
0,1.667624,5.916080,0.281880
0,3.181966,11.357817,0.280156
0,2.529992,10.246951,0.246902
0,1.048356,3.605551,0.290762
0,1.098832,3.741657,0.293675
0,1.966410,8.602325,0.228591
0,0.172335,1.414214,0.121859
0,0.910182,2.236068,0.407046
0,1.600215,5.385165,0.297152
0,0.710246,5.385165,0.131889
0,0.757442,3.741657,0.202435
0,0.121859,1.000000,0.121859
0,0.757442,3.741657,0.202435
0,1.254851,4.582576,0.273831
0,1.373431,4.242641,0.323721
0,0.566678,3.162278,0.179199
0,0.832105,5.656854,0.147097
0,1.258825,4.582576,0.274698
0,3.581295,10.488088,0.341463
0,2.350229,6.708204,0.350351
0,0.741127,3.316625,0.223458
0,1.650691,3.741657,0.441166
0,1.852571,5.000000,0.370514
0,0.172335,1.414214,0.121859
0,0.757442,3.741657,0.202435
0,0.557686,4.000000,0.139422
0,1.136966,3.741657,0.303867
0,2.179445,7.874008,0.276790
0,1.066202,3.741657,0.284954
0,0.487436,4.000000,0.121859
0,1.545765,4.242641,0.364340
0,1.942223,6.708204,0.289530
0,1.562080,6.403124,0.243956
0,2.421787,6.557439,0.369319
0,1.600834,5.916080,0.270590
0,1.254851,5.385165,0.233020
0,1.958538,6.480741,0.302209
0,1.792763,5.830952,0.307456
0,0.568793,2.236068,0.254372
0,1.123019,5.744563,0.195492
0,1.511605,5.099020,0.296450
0,0.811197,6.403124,0.126688
0,1.755322,6.164414,0.284751
0,1.032041,3.741657,0.275825
0,3.110983,8.306624,0.374518
0,1.082517,3.605551,0.300236
0,0.585107,2.449490,0.238869
0,0.910182,3.000000,0.303394
0,0.635583,3.000000,0.211861
0,1.032041,3.741657,0.275825
0,0.879301,4.582576,0.191879
0,1.426385,6.633250,0.215036
0,3.210110,10.049876,0.319418
0,2.697298,6.082763,0.443433
0,2.603009,11.180340,0.232820
0,0.832105,6.324555,0.131567
0,0.955513,4.358899,0.219210
0,0.463249,1.732051,0.267457
0,0.659770,4.472136,0.147529
0,0.568793,2.236068,0.254372
0,1.373431,4.690416,0.292816
0,0.294194,2.236068,0.131567
0,2.957949,8.717798,0.339300
0,1.170215,4.898979,0.238869
0,0.517004,4.242641,0.121859
0,1.357116,4.123106,0.329149
0,0.957514,3.162278,0.302793
0,0.811197,5.385165,0.150636
0,1.123019,6.403124,0.175386
0,0.446934,1.414214,0.316030
0,1.309920,4.898979,0.267386
0,2.185941,6.708204,0.325861
0,1.667624,5.916080,0.281880
0,3.646732,12.083046,0.301806
0,1.323867,3.605551,0.367175
0,2.652469,9.165151,0.289408
0,0.487436,4.000000,0.121859
0,2.672064,10.049876,0.265880
0,0.879301,4.123106,0.213262
0,0.984845,5.196152,0.189534
0,1.529450,5.385165,0.284012
0,1.755322,6.782330,0.258808
0,1.787116,4.242641,0.421227
0,1.478975,4.690416,0.315318
0,2.640836,12.247449,0.215623
0,3.041055,9.643651,0.315343
0,1.758602,8.717798,0.201725
0,1.393025,6.708204,0.207660
0,0.893867,2.449490,0.364920
0,4.506994,15.362291,0.293380
0,2.630182,6.403124,0.410765
0,0.876934,2.236068,0.392177
0,2.816931,7.348469,0.383336
0,1.295534,5.385165,0.240575
0,0.172335,1.414214,0.121859
0,0.757442,3.741657,0.202435
0,1.373431,4.242641,0.323721
0,0.934369,5.099020,0.183245
0,2.422699,5.196152,0.466249
0,0.537911,4.123106,0.130463
0,0.568793,2.236068,0.254372
0,1.718100,7.071068,0.242976
0,2.516956,9.695360,0.259604
0,1.323867,3.316625,0.399161
0,0.635583,2.236068,0.284241
0,2.762820,7.348469,0.375972
0,0.463249,1.732051,0.267457
0,0.121859,1.000000,0.121859
0,0.172335,1.414214,0.121859
0,3.091375,8.774964,0.352295
0,1.823644,6.164414,0.295834
0,3.034579,15.033296,0.201857
0,1.032041,3.741657,0.275825
0,5.529853,20.615528,0.268237
0,0.585107,2.449490,0.238869
0,1.820364,4.472136,0.407046
0,2.062769,9.273618,0.222434
0,0.446934,1.414214,0.316030
0,0.757442,3.162278,0.239524
0,1.617149,4.690416,0.344777
0,3.539642,13.601471,0.260240
0,1.975765,6.403124,0.308563
0,1.274508,6.164414,0.206753
0,1.065583,3.464102,0.307607
0,3.296275,9.433981,0.349404
0,1.739148,6.782330,0.256423
0,1.518164,8.124038,0.186873
0,1.349069,3.000000,0.449690
0,0.446934,1.414214,0.316030
0,0.416052,3.162278,0.131567
0,1.789005,5.196152,0.344294
0,3.136042,14.456832,0.216925
0,0.913462,4.123106,0.221547
0,2.200964,5.385165,0.408709
0,3.027401,11.045361,0.274088
0,1.223970,5.916080,0.206889
0,2.389157,6.708204,0.356154
0,2.184628,8.774964,0.248961
0,0.446934,1.414214,0.316030
0,1.562080,5.744563,0.271923
0,1.360395,5.000000,0.272079
0,2.033201,9.055385,0.224529
0,2.476377,5.916080,0.418584
0,1.614376,8.485281,0.190256
0,1.170215,4.898979,0.238869
0,1.651309,5.099020,0.323848
0,2.076379,6.480741,0.320392
0,2.097624,6.480741,0.323670
0,2.823004,12.688578,0.222484
0,1.617149,6.164414,0.262336
0,1.721379,8.831761,0.194908
0,1.549045,6.164414,0.251288
0,0.487436,4.000000,0.121859
0,0.760722,5.656854,0.134478
0,1.634994,4.358899,0.375093
0,1.376710,6.164414,0.223332
0,0.344669,2.828427,0.121859
0,0.344669,2.828427,0.121859
0,6.058805,17.435596,0.347496
0,0.294194,2.236068,0.131567
0,1.309920,4.472136,0.292907
0,1.529450,5.000000,0.305890
0,1.001160,5.099020,0.196344
0,0.635583,3.000000,0.211861
0,2.417019,6.708204,0.360308
0,2.819570,10.246951,0.275162
0,0.588387,4.472136,0.131567
0,0.635583,3.000000,0.211861
0,1.098832,3.741657,0.293675
0,1.345829,6.164414,0.218322
0,1.659577,5.385165,0.308176
0,0.811197,0.000000,inf
0,1.220691,4.582576,0.266377
0,0.807918,4.358899,0.185349
0,1.498569,6.708204,0.223393
0,1.326235,5.000000,0.265247
0,2.577188,8.366600,0.308033
0,1.495290,4.123106,0.362661
0,4.899554,13.304135,0.368273
0,1.129849,0.000000,inf
0,2.696679,6.403124,0.421151
0,0.910318,4.358899,0.208841
0,1.723177,5.916080,0.291270
0,1.408917,5.744563,0.245261
0,1.839959,6.557439,0.280591
0,1.271166,6.000000,0.211861
0,1.545765,3.162278,0.488814
0,1.540620,7.810250,0.197256
0,1.098832,3.741657,0.293675
0,1.446780,8.124038,0.178086
0,1.792763,8.717798,0.205644
0,1.667624,5.916080,0.281880
0,2.119586,9.110434,0.232655
0,1.722538,6.708204,0.256781
0,3.229444,9.433981,0.342320
0,2.600486,9.110434,0.285440
0,1.981412,9.219544,0.214914
0,1.592787,5.385165,0.295773
0,1.054915,8.062258,0.130846
0,0.537911,4.123106,0.130463
0,1.612381,6.000000,0.268730
0,2.675434,6.082763,0.439839
0,3.967128,11.045361,0.359167
0,1.591096,0.000000,inf
0,2.687225,9.949874,0.270076
0,2.375247,7.549834,0.314609
0,1.591096,7.874008,0.202069
0,0.619268,2.449490,0.252815
0,1.511605,2.449490,0.617110
0,1.942223,4.123106,0.471058
0,1.048356,3.605551,0.290762
0,0.466528,3.000000,0.155509
0,2.104584,9.273618,0.226943
0,1.617149,5.830952,0.277339
0,3.493747,14.628739,0.238828
0,2.064082,6.000000,0.344014
0,2.038516,5.385165,0.378543
0,2.794193,7.280110,0.383812
0,1.820500,6.480741,0.280909
0,1.001160,5.099020,0.196344
0,0.913462,4.582576,0.199334
0,0.416052,3.162278,0.131567
0,3.888817,12.328828,0.315425
0,1.772550,5.385165,0.329154
0,0.635583,2.236068,0.284241
0,3.758367,15.165751,0.247819
0,1.898307,9.273618,0.204700
0,1.360395,5.385165,0.252619
0,3.212685,12.206556,0.263193
0,1.522864,7.549834,0.201708
0,1.667624,3.464102,0.481402
0,1.495290,5.000000,0.299058
0,1.065583,3.464102,0.307607
0,1.698351,5.099020,0.333074
0,1.435563,5.099020,0.281537
0,1.048356,3.605551,0.290762
0,1.836679,5.000000,0.367336
0,1.803431,5.000000,0.360686
0,1.051636,5.916080,0.177759
0,1.244878,7.348469,0.169406
0,1.636743,7.810250,0.209563
0,2.088805,4.123106,0.506610
0,1.828632,5.744563,0.318324
0,0.984845,5.196152,0.189534
0,1.478975,4.242641,0.348598
0,1.204376,4.472136,0.269307
0,2.355136,5.830952,0.403903
0,1.119879,4.472136,0.250413
0,0.926497,2.828427,0.327566
0,0.635583,3.000000,0.211861
0,2.298549,7.348469,0.312793
0,2.250983,6.708204,0.335557
0,1.608734,8.944272,0.179862
0,1.032041,3.162278,0.326360
0,2.286892,7.280110,0.314129
0,4.297084,18.627936,0.230680
0,1.640023,10.344080,0.158547
0,1.011269,5.916080,0.170936
0,3.219948,5.385165,0.597929
0,1.220691,5.385165,0.226677
0,1.113534,4.582576,0.242993
0,1.887291,7.071068,0.266903
0,2.130873,6.000000,0.355145
0,2.618308,10.488088,0.249646
0,1.128334,2.000000,0.564167
0,0.893867,2.000000,0.446934
0,1.144649,5.385165,0.212556
0,1.725353,7.483315,0.230560
0,2.051047,8.306624,0.246917
0,1.844551,7.141428,0.258289
0,2.420408,8.062258,0.300215
0,1.220691,5.000000,0.244138
0,1.220691,5.000000,0.244138
0,0.910182,3.000000,0.303394
0,1.357116,4.358899,0.311344
0,2.423317,7.810250,0.310274
0,3.927037,0.000000,inf
0,2.903102,9.273618,0.313050
0,6.965654,17.262677,0.403509
0,2.910947,9.797959,0.297097
0,1.667624,6.557439,0.254310
0,2.420408,9.219544,0.262530
0,4.360734,9.000000,0.484526
0,3.853463,10.816654,0.356253
0,0.757442,3.741657,0.202435
0,1.623137,9.165151,0.177099
0,4.871511,16.492423,0.295379
0,0.913462,4.582576,0.199334
0,0.791603,3.741657,0.211565
0,0.635583,3.000000,0.211861
0,1.082517,4.123106,0.262549
0,0.635583,3.000000,0.211861
0,0.635583,3.000000,0.211861
0,3.440792,6.782330,0.507317
0,0.344669,2.828427,0.121859
0,1.961818,7.874008,0.249151
0,0.619268,2.449490,0.252815
0,2.855685,6.782330,0.421048
0,1.819746,5.099020,0.356881
0,2.708277,9.539392,0.283905
0,3.492711,9.539392,0.366136
0,3.083484,9.899495,0.311479
0,4.423270,11.704700,0.377905
0,2.507511,0.000000,inf
0,3.677613,9.899495,0.371495
0,2.316677,10.246951,0.226084
0,0.741127,3.316625,0.223458
0,3.585401,8.366600,0.428537
0,3.302618,4.472136,0.738488
0,2.733207,7.141428,0.382726
0,0.910182,3.000000,0.303394
0,1.734415,5.916080,0.293170
0,1.048356,4.123106,0.254264
0,1.001160,5.099020,0.196344
0,0.757442,3.741657,0.202435
0,1.357116,3.316625,0.409186
0,1.655930,5.916080,0.279903
0,2.733826,5.916080,0.462101
0,1.477584,5.744563,0.257214
0,1.254851,5.385165,0.233020
0,1.803431,5.385165,0.334889
0,1.357116,3.316625,0.409186
0,1.529450,5.000000,0.305890
0,4.641888,10.862780,0.427320
0,0.585107,2.449490,0.238869
0,1.542622,5.477226,0.281643
0,1.373431,3.741657,0.367065
0,1.667624,6.557439,0.254310
0,0.929777,5.099020,0.182344
0,4.283565,11.357817,0.377147
0,3.045246,9.949874,0.306059
0,2.250364,5.744563,0.391738
0,0.635583,3.000000,0.211861
0,0.466528,3.605551,0.129392
0,2.183867,5.385165,0.405534
0,1.760151,7.348469,0.239526
0,3.591165,9.643651,0.372386
0,1.995978,5.099020,0.391444
0,3.218089,5.477226,0.587540
0,2.132403,6.928203,0.307786
0,1.930937,8.485281,0.227563
0,0.294194,2.236068,0.131567
0,1.182667,4.690416,0.252145
0,0.926497,3.464102,0.267457
0,0.963937,5.099020,0.189044
0,0.344669,2.828427,0.121859
0,1.911342,7.681146,0.248836
0,4.476807,12.884099,0.347468
0,4.347988,9.433981,0.460886
0,0.910182,2.236068,0.407046
0,0.781629,6.082763,0.128499
0,1.001160,5.477226,0.182786
0,1.478975,5.099020,0.290051
0,1.204376,4.472136,0.269307
0,1.856274,7.874008,0.235747
0,2.165033,7.211103,0.300236
0,1.667624,5.916080,0.281880
0,3.197074,8.246211,0.387702
0,2.542434,7.810250,0.325525
0,2.792060,6.082763,0.459012
0,1.498569,6.403124,0.234037
0,1.787734,5.099020,0.350604
0,4.380190,15.811388,0.277028
0,2.337736,11.874342,0.196873
0,3.168875,9.000000,0.352097
0,1.213260,4.123106,0.294259
0,2.442912,8.660254,0.282083
0,3.271508,6.557439,0.498900
0,2.012293,7.141428,0.281777
0,1.356497,4.123106,0.328999
0,0.862986,4.242641,0.203408
0,1.032041,3.162278,0.326360
0,0.913462,4.582576,0.199334
0,2.418372,11.832160,0.204390
0,0.635583,3.000000,0.211861
0,1.321576,5.385165,0.245411
0,2.788894,6.782330,0.411200
0,1.345829,6.782330,0.198432
0,1.085796,5.196152,0.208962
0,1.846518,10.816654,0.170711
0,1.498569,6.403124,0.234037
0,1.329514,7.141428,0.186169
0,2.699665,9.949874,0.271327
0,2.885937,7.483315,0.385650
0,1.366737,8.306624,0.164536
0,4.577064,12.569805,0.364132
0,3.377677,12.041595,0.280501
0,1.511605,5.830952,0.259238
0,0.963937,5.099020,0.189044
0,1.254851,5.099020,0.246097
0,1.780232,6.782330,0.262481
0,1.991482,6.782330,0.293628
0,4.188224,19.026298,0.220128
0,4.933701,10.862780,0.454184
0,2.455947,8.062258,0.304623
0,1.780232,7.874008,0.226090
0,1.765121,5.916080,0.298360
0,3.099403,12.083046,0.256508
0,3.403570,8.485281,0.401115
0,5.214498,21.213203,0.245814
0,0.416052,3.162278,0.131567
0,4.111849,8.306624,0.495008
0,1.804049,5.744563,0.314045
0,2.799998,9.949874,0.281410
0,7.440404,22.315914,0.333412
0,2.611967,8.831761,0.295747
0,0.588387,4.472136,0.131567
0,0.344669,2.000000,0.172335
0,1.389746,5.196152,0.267457
0,0.980252,5.744563,0.170640
0,0.933056,7.071068,0.131954
0,1.342550,5.477226,0.245115
0,1.929188,7.874008,0.245007
0,2.946663,10.246951,0.287565
0,2.543646,9.486833,0.268124
0,1.820364,4.898979,0.371580
0,1.978273,9.695360,0.204043
0,2.387043,4.898979,0.487253
0,1.714686,12.041595,0.142397
0,1.831912,6.403124,0.286097
0,1.633464,6.557439,0.249101
0,1.843238,8.062258,0.228626
0,1.803431,4.582576,0.393541
0,1.841925,11.445523,0.160930
0,1.683939,5.830952,0.288793
0,3.978903,17.204651,0.231269
0,2.652469,10.000000,0.265247
0,0.619268,2.449490,0.252815
0,3.659059,10.198039,0.358800
0,3.662588,16.093477,0.227582
0,2.279980,10.630146,0.214482
0,1.549045,6.000000,0.258174
0,3.120604,11.180340,0.279115
0,2.106855,7.348469,0.286707
0,2.661856,8.366600,0.318153
0,4.822079,10.000000,0.482208
0,4.677764,10.000000,0.467776
0,1.157180,6.082763,0.190239
0,3.323408,9.486833,0.350318
0,0.294194,2.236068,0.131567
0,1.820364,6.000000,0.303394
0,4.917710,13.928388,0.353071
0,2.080397,7.280110,0.285765
0,3.031631,11.224972,0.270079
0,3.785793,9.695360,0.390475
0,2.380199,9.695360,0.245499
0,3.228297,12.569805,0.256830
0,7.853301,13.266499,0.591965
0,3.272828,13.266499,0.246699
0,3.247280,14.696938,0.220949
0,2.594121,9.848858,0.263393
0,1.443501,7.071068,0.204142
0,2.697298,7.000000,0.385328
0,4.359851,18.384776,0.237145
0,0.913462,4.123106,0.221547
0,1.340182,3.162278,0.423803
0,1.718100,6.480741,0.265109
0,2.067362,8.124038,0.254475
0,1.323249,3.316625,0.398974
0,2.892685,12.083046,0.239400
0,2.744735,12.247449,0.224107
0,2.701930,11.224972,0.240707
0,4.115436,12.247449,0.336024
0,3.623639,6.782330,0.534276
0,2.876898,8.124038,0.354122
0,2.303207,8.831761,0.260787
0,2.114558,6.403124,0.330238
0,2.157567,10.630146,0.202967
0,1.991958,7.615773,0.261557
0,5.120068,15.556349,0.329130
0,2.418659,7.000000,0.345523
0,0.466528,3.605551,0.129392
0,2.595652,6.403124,0.405373
0,1.254851,3.605551,0.348033
0,1.204376,4.898979,0.245842
0,2.585679,10.000000,0.258568
0,1.911342,7.681146,0.248836
0,2.942070,11.357817,0.259035
0,0.862986,4.242641,0.203408
0,1.066202,3.741657,0.284954
0,0.659770,5.099020,0.129392
0,1.326235,5.000000,0.265247
0,0.926497,3.464102,0.267457
0,0.588387,4.472136,0.131567
0,1.271166,4.898979,0.259476
0,0.926497,3.464102,0.267457
0,1.804419,9.848858,0.183211
0,2.009014,5.744563,0.349724
0,3.216669,12.041595,0.267130
0,2.255943,9.433981,0.239129
0,1.828721,5.385165,0.339585
0,3.753797,9.165151,0.409573
0,0.926497,2.828427,0.327566
0,5.153381,0.000000,inf
0,2.452940,11.180340,0.219398
0,0.690651,3.162278,0.218403
0,1.435563,4.242641,0.338365
0,0.926497,2.828427,0.327566
0,0.926497,2.828427,0.327566
0,1.098832,3.162278,0.347481
0,2.601994,9.000000,0.289110
0,1.220691,5.385165,0.226677
0,0.910182,2.236068,0.407046
0,1.925290,4.472136,0.430508
0,1.787116,4.472136,0.399611
0,2.696679,6.403124,0.421151
0,1.357116,4.358899,0.311344
0,2.387766,8.366600,0.285393
0,0.926497,2.828427,0.327566
0,3.765867,12.449900,0.302482
0,3.041055,4.123106,0.737564
0,1.891269,4.123106,0.458700
0,5.256777,10.488088,0.501214
0,1.373431,4.242641,0.323721
0,1.927657,8.124038,0.237278
0,2.480135,9.797959,0.253128
0,1.254851,5.385165,0.233020
0,0.934369,5.099020,0.183245
0,2.611967,7.071068,0.369388
0,2.821524,9.273618,0.304253
0,1.805798,6.403124,0.282018
0,3.232984,11.661904,0.277226
0,5.005785,8.062258,0.620891
0,5.029567,18.055470,0.278562
0,3.557692,8.544004,0.416396
0,3.287172,10.677078,0.307872
0,1.496365,3.741657,0.399920
0,5.483701,19.000000,0.288616
0,4.671191,8.544004,0.546722
0,2.252732,8.306624,0.271197
0,3.643389,8.124038,0.448470
0,0.828825,4.242641,0.195356
0,2.544558,5.830952,0.436388
0,0.757442,3.741657,0.202435
0,4.516425,11.357817,0.397649
0,3.913235,10.816654,0.361779
0,1.999040,5.099020,0.392044
0,2.387043,9.165151,0.260448
0,2.114558,7.810250,0.270741
0,1.340182,3.741657,0.358179
0,2.719757,8.062258,0.337344
0,4.632182,13.638182,0.339648
0,0.757442,3.741657,0.202435
0,1.400897,8.062258,0.173760
0,2.083677,7.000000,0.297668
0,1.376710,5.830952,0.236104
0,2.961229,9.643651,0.307065
0,1.495290,4.123106,0.362661
0,3.182508,11.090537,0.286957
0,1.495290,5.385165,0.277668
0,1.376710,6.000000,0.229452
0,4.147005,13.490738,0.307396
0,1.651309,6.782330,0.243472
0,1.204376,5.744563,0.209655
0,2.544851,5.099020,0.499086
0,3.965050,12.083046,0.328150
0,2.186853,5.000000,0.437371
0,1.911342,7.681146,0.248836
0,2.006782,5.000000,0.401356
0,1.440047,6.164414,0.233606
0,1.015726,3.000000,0.338575
0,4.076375,10.344080,0.394078
0,3.879679,12.884099,0.301121
0,2.275566,7.681146,0.296253
0,2.453993,8.366600,0.293308
0,2.974634,13.747727,0.216373
0,1.634376,5.385165,0.303496
0,2.165033,8.246211,0.262549
0,0.910182,2.236068,0.407046
0,2.130873,4.000000,0.532718
0,1.204376,4.000000,0.301094
0,1.654589,7.874008,0.210133
0,2.854306,11.045361,0.258417
0,2.587427,12.409674,0.208501
0,2.455947,8.062258,0.304623
0,2.735917,6.324555,0.432587
0,0.344669,2.828427,0.121859
0,0.950684,5.196152,0.182959
0,1.393025,5.744563,0.242495
0,1.032041,2.828427,0.364882
0,0.706966,3.316625,0.213158
0,1.478975,5.099020,0.290051
0,3.785341,8.774964,0.431380
0,0.926497,2.828427,0.327566
0,1.478975,5.099020,0.290051
0,1.448094,6.164414,0.234912
0,1.874119,7.000000,0.267731
0,1.877399,8.544004,0.219733
0,1.326235,5.744563,0.230868
0,1.978133,7.681146,0.257531
0,1.925908,5.477226,0.351621
0,1.553637,7.071068,0.219718
0,0.812510,4.123106,0.197063
0,1.357116,4.123106,0.329149
0,1.634994,5.385165,0.303611
0,1.495290,5.385165,0.277668
0,1.464408,7.000000,0.209201
0,3.573613,9.055385,0.394640
0,3.177480,10.049876,0.316171
0,1.651309,5.099020,0.323848
0,2.062215,7.000000,0.294602
0,3.462185,13.190906,0.262468
0,1.819148,7.874008,0.231032
0,1.170215,4.472136,0.261668
0,1.503162,7.000000,0.214737
0,1.514884,6.324555,0.239524
0,2.957494,6.403124,0.461883
0,2.513840,9.643651,0.260673
